country,employer_name,location_name,location_state,location_country,job_title,total_experience_years,employer_experience_years,annual_base_pay,signing_bonus,annual_bonus,stock_value_bonus,total
US/EU,farmers,woodland hills,,,analyst programmer iii,20.0,7.0,103000.0,,25000.0,,128000.0
US/EU,openx,pasadena,,,software engineer,3.0,1.5,120000.0,20000.0,16000.0,,156000.0
US/EU,google,nyc,,,software engineer,20.0,10.0,152000.0,0.0,27000.0,50000,179000.0
US/EU,random startup,berlin,,,devops,5.0,0.5,65000.0,0.0,0.0,30000,65000.0
US/EU,aecom,"richmond, ky",KY,US,automation engineer,17.0,4.0,112000.0,0.0,0.0,0,112000.0
US/EU,business insider,"new york, ny",NY,US,director of infrastructure,,1.0,125000.0,0.0,10000.0,0,135000.0
US/EU,seattlestartupco,seattle,,,senior software engineer,5.0,1.5,115000.0,0.0,10000.0,10000,125000.0
US/EU,gnaa,compton ca,CA,US,nigger in cheif,12.0,12.0,690000.0,,,,690000.0
US/EU,tibco software,palo alto,,,architect / principal engineer,10.0,8.0,140000.0,0.0,10000.0,0,150000.0
US/EU,financial software company,"washington, dc",WA,US,software engineer,4.0,2.0,140000.0,0.0,0.0,0,140000.0
US/EU,secretsecretsecret,canada,,CA,team lead,6.0,3.0,72600.0,0.0,0.0,90000,72600.0
US/EU,consulting company,"chicago, il",IL,US,devops engineer,6.0,3.0,95000.0,0.0,0.0,0,95000.0
US/EU,microsoft,seattle,,,software engineer,0.0,0.0,106000.0,60000.0,10000.0,20000,176000.0
US/EU,freelance,amsterdam,,,software engineer,10.0,2.0,90000.0,0.0,0.0,,90000.0
US/EU,facebook,menlo park,,,software engineer,15.0,8.0,420420.0,6969.0,4200.0,690069,431589.0
US/EU,yext,new york,NY,US,engineer,,2.0,100000.0,,,,100000.0
US/EU,18f,new york city,NY,US,innovation specialist,7.0,0.0,145000.0,0.0,0.0,0,145000.0
US/EU,shell oil,"houston, tx",TX,US,application developer,10.0,2.0,216000.0,,,,216000.0
US/EU,logic technology,"schenectady, ny",NY,US,technical director,13.0,12.0,73000.0,0.0,5000.0,0,78000.0
US/EU,self emplyed,"warsaw, poland",,PL,developer,6.0,3.0,28.0,0.0,0.0,0,28.0
US/EU,microsoft,redmond,,,software engineer,0.0,0.5,105000.0,10000.0,10000.0,15000,125000.0
US/EU,capital one,toronto,,,senior software engineer,7.0,1.0,95000.0,0.0,6000.0,8000,101000.0
US/EU,livingsocial,"portland, or",OR,US,sr. software engineer,7.0,2.0,108000.0,,2000.0,,110000.0
US/EU,arbor networks,"ann arbor, mi",MI,US,software engineer,,,105000.0,,,,105000.0
US/EU,verificient technologies,nyc,,,web developer,8.0,2.0,65000.0,0.0,0.0,0,65000.0
US/EU,m.h. frank ltd.,"clemson, sc",SC,US,sales associate,3.0,3.0,12000.0,0.0,100.0,0,12100.0
US/EU,an agency,uk,,,head of front end,16.0,15.0,59724.0,500.0,1422.0,0,61646.0
US/EU,luminoso,"cambridge, ma",MA,US,software engineer,2.0,1.0,75000.0,0.0,0.0,0,75000.0
US/EU,medium-size sf biotech,south san francisco,,,software developer,8.0,2.0,130000.0,20000.0,,,150000.0
US/EU,startup,"san francisco (palo alto), ca",CA,US,software engineer,3.0,1.0,100000.0,2500.0,1500.0,,104000.0
US/EU,google,new york,NY,US,software engineer,1.0,1.0,115000.0,15000.0,15000.0,45000,145000.0
US/EU,google,san francisco,,,cto google rail product,12.0,5.0,356000.0,190000.0,70000.0,0,616000.0
US/EU,tomtom,amsterdam,,,expert software engineer,10.0,6.0,60000.0,,9000.0,3000,69000.0
US/EU,telecom company,san jose,,,lead engineer,15.0,3.0,152000.0,,18000.0,,170000.0
US/EU,deloitte,south africa,,ZA,assistant manager,5.0,0.5,45000.0,0.0,800.0,0,45800.0
US/EU,united states government,"fayetteville, ar",AR,US,it technician,2.0,1.0,49300.0,,150.0,,49450.0
US/EU,tableau software,seattle,,,senior software engineer,5.0,5.0,135000.0,300000.0,13500.0,120000,448500.0
US/EU,amazon,germany,,DE,sde2,7.0,3.0,70000.0,10000.0,,"âÂ25,000",80000.0
US/EU,enterprise software company,"pleasanton, ca",CA,US,front end developer,15.0,1.0,105000.0,0.0,0.0,15000,105000.0
US/EU,ebay,"san jose, ca",CA,US,mts ii software engineer,20.0,8.0,181000.0,,20000.0,45000,201000.0
US/EU,teksystems,"lincoln, ne",NE,US,senior applications developer,10.0,3.0,80000.0,0.0,0.0,0,80000.0
US/EU,neustar,"sterling, va",VA,US,software engineer ii,4.0,3.0,89000.0,,10.0,,89010.0
US/EU,startup,san francisco,,,cto,14.0,2.0,135000.0,,,,135000.0
US/EU,twitter,san francisco,,,senior software engineer,9.75,3.75,164000.0,0.0,0.0,200000,164000.0
US/EU,here,chicago,,,software engineer i,1.5,0.0,80800.0,0.0,7000.0,0,87800.0
US/EU,alliant energy,"madison, wi",WI,US,senior it analyst,8.0,1.0,103000.0,0.0,15450.0,0,118450.0
US/EU,expedia,"bellevue, wa",WA,US,software development engineer i,1.0,0.0,105500.0,20000.0,10.0,"10,000",125510.0
US/EU,best buy,"minneapolis, mn",MN,US,web engineer ii,7.0,2.0,125000.0,5000.0,15000.0,0,145000.0
US/EU,propeller studios,toronto,,,principal developer,4.0,1.0,27557.6,0.0,0.0,0,27557.6
US/EU,airbnb,san francisco,,,software engineer,0.0,1.0,110000.0,50000.0,,,160000.0
US/EU,amazon,seattle,,,sde,4.0,2.0,105000.0,45000.0,,15000,150000.0
US/EU,iac applications,"yonkers, ny",NY,US,senior engineer,16.0,10.0,124000.0,3000.0,10000.0,0,137000.0
US/EU,scientific programmer,austin,,,scientific associate,10.0,4.0,80000.0,0.0,0.0,0,80000.0
US/EU,microsoft,"redmond, wa",WA,US,software development engineer 2,7.0,3.0,124000.0,55000.0,2600.0,"4,000",181600.0
US/EU,bloomberg,new york city,NY,US,software engineer,0.0,0.0,117000.0,0.0,17000.0,0,134000.0
US/EU,squaretrade,san francisco,,,senior software engineer,10.0,1.0,135000.0,5000.0,0.0,0,140000.0
US/EU,avl germany,munich,,,software engineer,2.0,2.0,60.0,0.0,0.0,0,60.0
US/EU,microsoft,seattle,,,software engineer,1.0,2.0,120000.0,200000.0,,,320000.0
US/EU,tealium,san diego,,,software deveoper,2.0,1.0,55000.0,,2000.0,,57000.0
US/EU,mathworks,natick,,,software enginee,2.0,1.0,70000.0,0.0,4000.0,0,74000.0
US/EU,iversity,berlin,,,javascript developer,3.0,2.0,35000.0,0.0,0.0,0,35000.0
US/EU,bulletproof,"sydney, australia",,AU,engineer,15.0,3.5,160000.0,0.0,0.0,1000,160000.0
US/EU,nbcuniversal,"boise, id (remote, job is based in nyc)",ID,US,senior software engineer,10.0,1.5,113375.0,0.0,0.0,5000-ish,113375.0
US/EU,google,mountain view,,,swe,5.0,0.0,135000.0,30000.0,20000.0,60000,185000.0
US/EU,move2,sao paulo,,,developer,7.0,2.0,120000.0,0.0,0.0,0,120000.0
US/EU,google,bay area,,,software engineer,5.0,1.4,125000.0,10000.0,25000.0,50000,160000.0
US/EU,yelp,sf,,,software engineer,3.0,1.5,130.0,0.0,0.0,50,130.0
US/EU,amazon,toronto,,,sde1,2.0,1.0,80000.0,25000.0,5000.0,"20,000",110000.0
US/EU,sparefoot,"austin, tx",TX,US,php developer,,,150000.0,20000.0,10000.0,"40,000",180000.0
US/EU,brazilian startup,brazil,,BR,senior developer,10.0,3.0,90000.0,0.0,0.0,0,90000.0
US/EU,wpp,new york,NY,US,executive director of user experience,18.0,2.0,195000.0,15000.0,10.0,,210010.0
US/EU,square,"san francisco, ca",CA,US,software engineer,4.0,3.0,110000.0,0.0,0.0,250000,110000.0
US/EU,google,london,,,engineer,3.0,0.5,65000.0,0.0,5000.0,25000,70000.0
US/EU,secret,london,,,quant algo developer,12.0,9.0,156.42,,99540.0,10K GBP,99696.42
US/EU,google,san francisco,,,software engineer,10.0,4.0,130000.0,,20000.0,30000,150000.0
US/EU,cconsultancy firm,dublin ireland,,IE,senior software developer,8.5,7.0,62500.0,0.0,3000.0,0,65500.0
US/EU,qlogic,pune,,,senior engineer,5.0,5.0,20000.0,,,,20000.0
US/EU,cisco startup,berlin,,,senior software developer,15.0,0.75,65000.0,0.0,0.0,0,65000.0
US/EU,startup,"cambridge, ma",MA,US,engineer,2.0,2.0,130000.0,0.0,10000.0,0,140000.0
US/EU,amazon,seattle,,,sde ii,2.0,2.0,118000.0,53500.0,,50000,171500.0
US/EU,financial times,london,,,web developer,12.0,5.0,65412.0,0.0,1422.0,0,66834.0
US/EU,intuit,san francisco,,,software engineer ii,1.0,1.0,110000.0,5000.0,10000.0,15000,125000.0
US/EU,online training company,ireland,,IE,software development manager,10.0,1.0,70000.0,0.0,30000.0,0,100000.0
US/EU,facebook,menlo park,,,engineer,2.0,2.0,124000.0,50000.0,10000.0,57000,184000.0
US/EU,test,test,,,ceo,4.0,2.0,300000.0,10000.0,33333.0,22333,343333.0
US/EU,trading technologies,chicago,,,software developer,9.0,7.0,150000.0,,12000.0,,162000.0
US/EU,amazon,seattle,,,sde i,2.0,2.0,101000.0,25000.0,0.0,25000,126000.0
US/EU,medium sized isv,"montreal, quebec, canada",,CA,application analyst,16.0,6.0,81500.0,0.0,3000.0,0,84500.0
US/EU,microsoft,seattle,,,program manager ii,3.0,3.0,124000.0,5000.0,13000.0,19000,142000.0
US/EU,startup,mississippi,MS,US,software developer,3.0,2.0,49000.0,0.0,700.0,0,49700.0
US/EU,foobar,foobar,,,developer,2.0,1.0,12000.0,0.0,0.0,0,12000.0
US/EU,sef,"san francisco, ca",CA,US,founder,20.0,1.0,0.0,0.0,0.0,0,0.0
US/EU,google,mountain view,,,software engineer,2.0,2.0,110000.0,0.0,18000.0,55000,128000.0
US/EU,stanford,"stanford, ca",CA,US,graduate student researcher,,6.0,32000.0,0.0,0.0,0,32000.0
US/EU,sandia national laboratories,"albuquerque, new mexico",,MX,research intern,2.0,0.0,46000.0,0.0,0.0,0,46000.0
US/EU,x,bosnia,,,senior developer,7.0,5.0,300000.0,0.0,0.0,0,300000.0
US/EU,vision critical,vancouver,,,product manager,15.0,3.0,60000.0,3000.0,2000.0,"$1,000",65000.0
US/EU,a national reference laboratory,mountain west,,,"bioinformatics scientist, sr",5.0,1.0,92000.0,5000.0,3000.0,0,100000.0
US/EU,careworks tech,"columbus, oh",OH,US,lead front-end web developer,5.0,2.0,77957.56,0.0,0.0,0,77957.56
US/EU,sacramento county,"sacramento, ca",CA,US,it analyst i,4.0,1.0,61000.0,0.0,0.0,0,61000.0
US/EU,unnamed pre-series a startup,"cologne, germany",,DE,software engineer,2.0,0.0,48000.0,0.0,4000.0,0,52000.0
US/EU,airbnb,san francisco,,,manager,10.0,2.0,180000.0,12000.0,,,192000.0
US/EU,niehs,"durham, nc",NC,US,software developer,2.0,1.0,68000.0,0.0,0.0,0,68000.0
US/EU,netspend,"austin, tx",TX,US,front-end developer,1.0,1.0,72000.0,0.0,5500.0,,77500.0
US/EU,automotive sector,bavaria,,,software engineer,2.0,2.0,60000.0,0.0,4000.0,0,64000.0
US/EU,groupon,seattle,,,sr. engineering manager,14.0,3.0,160000.0,,,"100,000",160000.0
US/EU,google,los angeles,,,staff software engineer,20.0,7.0,200000.0,,45000.0,"105,000",245000.0
US/EU,ad-tech,new york,NY,US,senior data analyst,8.0,2.0,110000.0,0.0,10000.0,pre-ipo so techniclly 0,120000.0
US/EU,lab126 (amazon),sunnyvale,,,sde3,26.0,1.0,155000.0,,50000.0,,205000.0
US/EU,deka research,"manchester, nh",NH,US,software engineer,5.0,3.0,69000.0,2000.0,3000.0,0,74000.0
US/EU,small consulting shop,nyc,,,sr consultant (software  engineer),20.0,2.5,1500.0,,,na,1500.0
US/EU,sitecrafting,tacoma,,,web application developer,5.0,1.0,52500.0,0.0,0.0,0,52500.0
US/EU,verizon,"waltham, ma",MA,US,senior software engineer,7.0,2.0,110000.0,,,0,110000.0
US/EU,instructure,salt lake city,,,software engineer,1.0,0.0,75000.0,0.0,0.0,20000,75000.0
US/EU,domo,"american fork, ut",UT,US,account executive,5.0,1.0,80000.0,25000.0,140000.0,50000,245000.0
US/EU,hp,bulgaria,,BG,unix support engineer level 1,1.0,1.0,5600.0,0.0,0.0,0,5600.0
US/EU,moven,"radnor, pa",PA,US,software engineer,8.0,1.0,105000.0,0.0,0.0,0,105000.0
US/EU,compas technology llc,san francisco,,,full stack software engineer,3.0,1.0,75000.0,0.0,7500.0,0,82500.0
US/EU,~publicisgroupe,berlin,,,junior devops engineer,5.0,1.0,33000.0,,,no,33000.0
US/EU,facebook,menlo park,,,software engineer,2.0,0.0,145000.0,10000.0,14500.0,,169500.0
US/EU,aol,los angeles,,,senior product manager,3.0,1.0,120000.0,0.0,12000.0,5000,132000.0
US/EU,minted,san francisco,,,software intern,1.0,0.0,74400.0,,,,74400.0
US/EU,microsoft,"redmond, wa",WA,US,sde,5.0,1.0,115000.0,15000.0,,65000,130000.0
US/EU,large retailer,"new york, ny",NY,US,interactive designer,9.0,4.0,67000.0,0.0,0.0,0,67000.0
US/EU,here,berlin,,,software engeneer,5.0,2.0,65000.0,,10000.0,,75000.0
US/EU,uber,san francisco,,,senior software engineer,3.0,1.5,150000.0,0.0,25000.0,100000,175000.0
US/EU,shipwire,sunnyvale,,,software engineer,4.0,2.0,91000.0,0.0,5.0,0,91005.0
US/EU,twitter,new york city,NY,US,senior software engineer,15.0,2.0,155000.0,0.0,0.0,325000,155000.0
US/EU,costco,issaquah,,,analyst,15.0,3.0,110000.0,0.0,0.0,0,110000.0
US/EU,oracle,southern california,CA,US,ux developer,10.0,5.0,100000.0,,,,100000.0
US/EU,1st4connect,"lahore, pakistan",,PK,software developer engineer,3.0,1.0,100000.0,,,,100000.0
US/EU,nike,"beaverton, or",OR,US,senior technical project manager,10.0,1.0,124000.0,0.0,0.0,0,124000.0
US/EU,fresh code,"salt lake city, utah",UT,US,software engineer,5.0,0.5,95000.0,0.0,0.0,0,95000.0
US/EU,ericsson,ireland,,IE,software engineer,4.0,1.0,40000.0,0.0,0.0,0,40000.0
US/EU,google,sydney,,,swe,15.0,5.0,130000.0,0.0,20000.0,~40000,150000.0
US/EU,ak systems,new york,NY,US,software engineer,10.0,6.0,120000.0,,10000.0,,130000.0
US/EU,freelance,peru,,PE,software engineer,5.0,2.0,200000.0,0.0,0.0,40000,200000.0
US/EU,autodesk,san francisco,,,senior software qa engineer,8.0,5.0,108000.0,250.0,,30% Salary as Stock,108250.0
US/EU,cox automotive,"burlington, vt",VT,US,ui developer,4.0,1.5,73500.0,0.0,5.0,0,73505.0
US/EU,square,san francisco,,,software engineer,3.0,3.0,115000.0,0.0,0.0,60000,115000.0
US/EU,formidable labs,seattle,,,senior front-end developer,4.0,2.0,130000.0,0.0,12000.0,0,142000.0
US/EU,state farm,"phoenix, az",AZ,US,software developer,2.0,1.0,63000.0,4000.0,6000.0,,73000.0
US/EU,plain vanilla,iceland,,IS,software developer,3.0,1.0,62000.0,0.0,0.0,0,62000.0
US/EU,directv,los angeles,,,software engineer,2.0,2.0,80000.0,0.0,0.0,0,80000.0
US/EU,digitalocean,new york,NY,US,sre,10.0,2.0,173000.0,25000.0,5000.0,,203000.0
US/EU,b2b,remote us,,,senior developer,14.0,11.0,110000.0,0.0,0.0,0,110000.0
US/EU,stealth startup,"london, uk (working remote)",,,developer,10.0,0.0,46000.0,0.0,,,46000.0
US/EU,shoretel,milwaukee,,,developer,8.0,4.0,80000.0,0.0,8000.0,0,88000.0
US/EU,logmein,san francisco,,,senior software engineer,4.0,2.0,110000.0,0.0,0.0,0,110000.0
US/EU,google,new york city,NY,US,software engineer ii (level 3),4.0,1.0,117500.0,0.0,18000.0,45000,135500.0
US/EU,startup,nyc,,,sr. ops analyst,2.0,1.5,70000.0,0.0,0.0,0,70000.0
US/EU,twitter,"san francisco, ca",CA,US,software engineer,3.0,1.0,140000.0,0.0,0.0,50000,140000.0
US/EU,self,usa,,,telecom engineering consultant,22.0,20.0,200000.0,0.0,0.0,0,200000.0
US/EU,audible,newark,,,sde 2,3.0,3.0,120000.0,15000.0,0.0,40000,135000.0
US/EU,amundi,paris,,,it engineer,2.0,0.0,47000.0,,,,47000.0
US/EU,facebook,north carolina,NC,US,software engineer,12.0,2.0,198000.0,25000.0,40000.0,100000,263000.0
US/EU,--,san francisco,,,infrastructure engineer,10.0,,188000.0,0.0,0.0,,188000.0
US/EU,-,"brisbane, australia",,AU,senior software engineer,15.0,1.0,115000.0,0.0,0.0,0,115000.0
US/EU,civil engineering company,memphis,,,project manager e.i,5.0,5.0,65000.0,0.0,0.0,0,65000.0
US/EU,l-mobile software solutions gmbh,"sulzbach an der murr, germany",,DE,software engineer,6.0,4.0,40000.0,0.0,0.0,0,40000.0
US/EU,intel,"folsom, ca",CA,US,application developer,2.0,2.0,74000.0,6000.0,3000.0,15000,83000.0
US/EU,sovrn holdings,"boulder, co",CO,US,software engineer,6.0,1.0,105000.0,0.0,0.0,0,105000.0
US/EU,,"interior bc, canada",,CA,software engineer (intermediate),7.0,0.0,100000.0,0.0,0.0,0,100000.0
US/EU,small agency,midwest,,,web developer,4.0,2.0,62000.0,0.0,0.0,0,62000.0
US/EU,thomson reuters,london,,,senior software engineer,4.0,3.0,40000.0,,,,40000.0
US/EU,vitelity communications,"englewood, co",CO,US,software engineer,5.0,3.0,70000.0,,,,70000.0
US/EU,midsized company,midwest,,,data architect,1.0,1.0,74000.0,0.0,3000.0,5000,77000.0
US/EU,amazon,"santa monica, ca",CA,US,sde i,1.0,1.0,95000.0,27000.0,0.0,15000,122000.0
US/EU,digitalocean,virginia,VA,US,ruby engineer,10.0,1.0,130000.0,0.0,7000.0,15000,137000.0
US/EU,misc,halifax,,,data scientist,1.0,1.0,55000.0,0.0,2000.0,0,57000.0
US/EU,nvidia,santa clara,,,software engineer ic2,2.0,2.0,115000.0,,,,115000.0
US/EU,tdispatch,berlin,,,senior developer,15.0,1.0,60000.0,,,1%,60000.0
US/EU,photo hosting company,"mountain view, ca",CA,US,engineer,13.0,3.0,150000.0,0.0,2000.0,0,152000.0
US/EU,ixl learning,"san mateo, ca",CA,US,sr. software engineer,4.0,3.0,125000.0,0.0,0.0,0,125000.0
US/EU,mitre,bedford ma,MA,US,lead software systems engineer,10.0,6.0,111500.0,3500.0,0.0,0,115000.0
US/EU,ibm,south carolina,SC,US,senior systems analyst,16.0,10.0,94000.0,,0.0,,94000.0
US/EU,google,mtv,,,software engineer,2.5,1.5,108000.0,,19000.0,52000,127000.0
US/EU,6 person startup,"san francisco, ca",CA,US,software engineer,2.0,0.0,105000.0,5000.0,,,110000.0
US/EU,wovenware,"san juan, pr",,,software developer,3.0,0.25,45000.0,0.0,3000.0,0,48000.0
US/EU,google,seattle,,,sde,0.0,0.0,110.0,5.0,15.0,45,130.0
US/EU,self,"minneapolis, mn",MN,US,senior front-end/full-stack developer,8.0,,135000.0,,,,135000.0
US/EU,expedia,seattle,,,software development engineer ii,3.0,3.0,105000.0,0.0,12000.0,0,117000.0
US/EU,microsoft,uk,,,support escalation engineer,10.0,3.0,85320.0,4000.0,5000.0,"$4,000",94320.0
US/EU,e commerce company,"boston, ma",MA,US,ÛÜsr engineer,12.0,4.0,135000.0,0.0,20000.0,0,155000.0
US/EU,cgi,canada,,CA,senior consultant,5.0,4.0,40000.0,0.0,800.0,3%,40800.0
US/EU,ecommerce startup,"salt lake city, ut",UT,US,magento developer,6.0,1.5,37500.0,0.0,15.0,,37515.0
US/EU,state of california,"sacramento, ca",CA,US,staff programmer,4.0,3.0,65000.0,,,,65000.0
US/EU,startup,"adelaide, australia",,AU,senior software engineer,15.0,4.0,85000.0,0.0,0.0,0,85000.0
US/EU,dish,"denver, co",CO,US,software engineer,1.0,1.0,70000.0,0.0,0.0,0,70000.0
US/EU,uppsala,sweden,,SE,post-doc,6.0,6.0,51000.0,,,,51000.0
US/EU,rentpath,atlanta,,,sr software engineer,5.0,4.0,108000.0,,,,108000.0
US/EU,google,mountain view,,,developer programs engineer,,,114000.0,,,,114000.0
US/EU,the motley fool,"alexandria, va",VA,US,systems administrator,5.0,2.0,85000.0,0.0,,,85000.0
US/EU,ut dallas,plano tx,TX,US,programmer iii,4.0,2.5,67500.0,0.0,0.0,0,67500.0
US/EU,teradata,san diego,,,software engineer,6.0,3.0,78000.0,0.0,300.0,0,78300.0
US/EU,datis hr cloud,"tampa, fl",FL,US,software developer,15.0,0.0,115000.0,5000.0,2500.0,0,122500.0
US/EU,reddit,san francisco,,,software engineer,15.0,1.0,150000.0,,,,150000.0
US/EU,radius,san francisco,,,software engineer,5.0,2.0,135000.0,0.0,0.0,30000,135000.0
US/EU,lever,san francisco,,,it administrator,10.0,1.0,75000.0,5000.0,,,80000.0
US/EU,microsoft,"redmond, wa",WA,US,software engineer,7.0,7.0,144000.0,0.0,20000.0,10000,164000.0
US/EU,ibm,"austin, tx",TX,US,software engineer,1.0,1.0,101000.0,10000.0,,,111000.0
US/EU,washington post,"washington, dc",WA,US,full stack developer,,,80000.0,5000.0,0.0,0,85000.0
US/EU,big  via middleman agency,south of france,,FR,front-end engineer,5.0,3.0,42000.0,1000.0,0.0,0,43000.0
US/EU,springfield power company,"springsfield, co",CO,US,nuclear safety inspector,30.0,30.0,24395.8,0.0,0.0,0,24395.8
US/EU,small agency,south west uk,,,front-end developer,5.0,0.25,41238.0,,,No Stock,41238.0
US/EU,groupon,palo alto,,,production engineer,7.0,2.5,125000.0,10000.0,,500,135000.0
US/EU,ssu,vancouver,,,web developer,5.0,1.0,550000.0,0.0,0.0,0,550000.0
US/EU,ontact,"salt lake city, ut",UT,US,senior software engineer,7.0,4.0,95000.0,0.0,8000.0,0,103000.0
US/EU,small consulting firm,"arlington, va",VA,US,software developer,0.5,0.5,70000.0,5000.0,,,75000.0
US/EU,accenture,washington dc,WA,US,analyst,2.0,2.0,72000.0,5000.0,5000.0,1000,82000.0
US/EU,client in hr,france - lyon,,FR,developer,1.0,1.0,25000.0,0.0,0.0,0,25000.0
US/EU,school of visual arts,"new york, ny",NY,US,systems administration,15.0,3.0,45000.0,,,No,45000.0
US/EU,onera,"toulouse, france",,FR,phd candidate,5.0,4.0,32000.0,0.0,0.0,0,32000.0
US/EU,amazon,"seattle, wa",WA,US,technical program manager,10.0,0.0,130000.0,37000.0,,20000,167000.0
US/EU,think big,"mountain view, ca",CA,US,senior data engineer,5.0,4.0,145000.0,0.0,15000.0,8000,160000.0
US/EU,microsoft,"redmond, wa",WA,US,software engineer ii,7.0,7.0,128000.0,30000.0,10000.0,8000,168000.0
US/EU,(private),"boston, ma",MA,US,creative director + designer/developer,12.0,4.0,100000.0,0.0,0.0,0,100000.0
US/EU,pricewaterhousecoopers,australia,,AU,senior software engineer,5.0,1.0,97000.0,0.0,2000.0,0,99000.0
US/EU,apple,sunnyvale,,,software engineer,2.0,2.0,118000.0,20000.0,10000.0,100000,148000.0
US/EU,gest,austin,,,ceo,1.0,1.0,36000.0,0.0,0.0,0,36000.0
US/EU,microsoft,seattle,,,software engineer i,1.0,1.0,105000.0,15000.0,10000.0,"17,500",130000.0
US/EU,kbc,belgium,,BE,data scientist,5.0,2.0,69000.0,0.0,5000.0,0,74000.0
US/EU,startup (15-20 people),"san francisco, ca",CA,US,senior software engineer,6.0,0.5,150000.0,,,,150000.0
US/EU,epic systems,"verona, wisconsin",WI,US,software developer,0.9,0.9,95000.0,10000.0,,0,105000.0
US/EU,ibm,"hursley, uk",,,graduate software developer,2.5,1.5,44000.0,0.0,0.0,0,44000.0
US/EU,facebook,menlo park,,,software engineer,1.0,1.0,135000.0,50000.0,30000.0,30000,215000.0
US/EU,advertising,toulouse (fr),,,lead backend developer,5.0,1.0,42000.0,,2000.0,,44000.0
US/EU,bah,maryland,MD,US,senior software engineer,15.0,1.0,101000.0,0.0,0.0,0,101000.0
US/EU,freelance,"portland, or",OR,US,front-end developer,1.0,1.0,75000.0,,,,75000.0
US/EU,microsoft,"redmond, wa",WA,US,service engineer,3.0,1.0,105000.0,5000.0,,,110000.0
US/EU,hcl america,"redmond, wa",WA,US,system administrator,10.0,2.0,55000.0,0.0,0.0,0,55000.0
US/EU,fcsa,"omaha, ne",NE,US,software engineer - consultant,12.0,1.0,150000.0,0.0,0.0,0,150000.0
US/EU,lc holdings ltd,ms,,,software developer,15.0,12.0,130000.0,,,,130000.0
US/EU,life time fitness,"louisville, co",CO,US,software engineer,5.0,1.0,75000.0,0.0,0.0,,75000.0
US/EU,ergon energy,"brisbane, australia",,AU,senior telecommunications specialist,10.0,1.0,1250000.0,0.0,0.0,0,1250000.0
US/EU,nav canada,"ottawa, canada",,CA,software developer,5.0,1.0,83000.0,0.0,0.0,0,83000.0
US/EU,billups,97034,OR,US,director of product management,15.0,1.0,135000.0,0.0,0.0,0,135000.0
US/EU,reply spa,germany,,DE,consultant,0.0,0.0,45000.0,0.0,0.0,0,45000.0
US/EU,bitdefender srl,"cluj-napoca, romania",,OM,software engineer,2.0,2.0,21500.0,0.0,0.0,0,21500.0
US/EU,segment,san francisco,,,operations,2.0,1.0,105000.0,0.0,0.0,5000,105000.0
US/EU,buffer,"toronto, on",ON,CA,mobile engineering lead,6.0,2.0,103595.0,0.0,0.0,0,103595.0
US/EU,amazon,bay area,,,sde 1,3.0,1.5,115000.0,65000.0,3000.0,35253,183000.0
US/EU,innova bilisim,istanbul,,,application development specialist,3.0,2.0,54000.0,0.0,4000.0,,58000.0
US/EU,eastman chemical company,"kingsport, tn",TN,US,accountant,2.0,2.0,62000.0,2500.0,,,64500.0
US/EU,centurylink,"denver, co",CO,US,software engineer,3.0,1.0,80000.0,0.0,4000.0,0,84000.0
US/EU,microsoft,"redmond, wa",WA,US,senior software engineer,4.0,4.0,147000.0,5000.0,26000.0,22000,178000.0
US/EU,edgecase,austin,,,web developer,2.0,1.0,55000.0,0.0,0.0,,55000.0
US/EU,freelance,"zurich, switzerland",,CH,software security engineer,10.0,0.0,140000.0,0.0,20000.0,0,160000.0
US/EU,general electric,san ramon,,,sr software engineer,6.5,3.0,136000.0,0.0,13600.0,6000,149600.0
US/EU,rackspace,"austin, tx",TX,US,software engineer,5.0,,135000.0,0.0,15.0,,135015.0
US/EU,transferwise,london,,,software engineer,2.5,1.0,45000.0,0.0,0.0,0,45000.0
US/EU,thermo fisher scientific,"lowell, ma",MA,US,software engineer ii,3.0,2.0,84000.0,5000.0,4000.0,0,93000.0
US/EU,protolabs,minnesota,MN,US,analyst,3.0,1.0,45000.0,,1500.0,5%,46500.0
US/EU,of illinois,"champaign, il",IL,US,communications specialist,6.0,3.0,58000.0,,,,58000.0
US/EU,google,"mountain view, ca",CA,US,web solutions engineer,10.0,1.0,120000.0,0.0,18000.0,28000,138000.0
US/EU,orbitz,chicago,,,software engineer,6.0,3.0,780000.0,0.0,3500.0,0,783500.0
US/EU,paypal,maryland,MD,US,software engineer,1.0,1.0,80000.0,10000.0,10.0,"$2,500",90010.0
US/EU,-,salt lake city,,,devops engineer,12.0,2.0,128000.0,0.0,4000.0,"Don't recall. Options are given, not RSUs.",132000.0
US/EU,undisclosed,"portland, or",OR,US,sr. support engineer,15.0,4.0,97000.0,0.0,0.0,"50,000",97000.0
US/EU,mozilla,remote (midwest),,,engineering manager,15.0,6.0,132000.0,0.0,35000.0,0,167000.0
US/EU,indiana,"indianapolis, in",,IN,it systems specialist,10.0,1.0,85000.0,0.0,0.0,0,85000.0
US/EU,bitdefender srl,cluj-napoca,,,software engineer,10.0,10.0,100000.0,20000.0,10000.0,0,130000.0
US/EU,uber technologies,san francisco,,,software engineer,4.0,1.0,140000.0,0.0,50000.0,200000,190000.0
US/EU,ibm,"irvine, ca",CA,US,staff software engineer,4.0,4.0,88800.0,0.0,1000.0,0,89800.0
